url_path,views_total,views_unique
/vishal2376/snaptick,383,276
/vishal2376/snaptick/releases/tag/v3.1,79,63
/vishal2376/snaptick/releases,28,26
/vishal2376/snaptick/blob/533c5ffdfe3f69b5fe6547df0684bff458bd3f7f/README.md,26,13
/vishal2376/snaptick/tree/master/app,24,17
/vishal2376/snaptick/issues,21,11
/vishal2376/snaptick/tree/master/app/src,18,14
/vishal2376/snaptick/tree/master/app/src/main,18,13
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,18,13
/vishal2376/snaptick/issues/19,10,9
