url_path,views_total,views_unique
/vishal2376/snaptick,278,216
/vishal2376/snaptick/releases/tag/v3.3,55,43
/vishal2376/snaptick/releases,11,8
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/MainActivity.kt,5,1
/vishal2376/snaptick/issues,4,4
/vishal2376/snaptick/issues/93,4,3
/vishal2376/snaptick/tree/master/app,3,3
/vishal2376/snaptick/issues/101,3,2
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/settings/SettingsScreen.kt,3,1
/vishal2376/snaptick/blob/master/README.md,2,1
