url_path,views_total,views_unique
/vishal2376/snaptick,286,222
/vishal2376/snaptick/releases/tag/v3.0,58,53
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,31,10
/vishal2376/snaptick/tree/master/app,28,13
/vishal2376/snaptick/tree/master/app/src,22,11
/vishal2376/snaptick/tree/master/app/src/main,19,9
/vishal2376/snaptick/issues,14,9
/vishal2376/snaptick/releases,13,12
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/viewmodels/TaskViewModel.kt,13,2
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/data/local,12,3
