time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-19 00:00:00+00:00,9,8,52,25
2025-11-20 00:00:00+00:00,7,6,25,17
2025-11-21 00:00:00+00:00,2,2,14,12
2025-11-22 00:00:00+00:00,7,6,28,10
2025-11-23 00:00:00+00:00,8,6,37,24
2025-11-24 00:00:00+00:00,4,4,30,16
2025-11-25 00:00:00+00:00,3,3,22,18
2025-11-26 00:00:00+00:00,3,3,37,21
2025-11-27 00:00:00+00:00,2,2,24,18
2025-11-28 00:00:00+00:00,6,3,34,20
2025-11-29 00:00:00+00:00,2,2,33,18
2025-11-30 00:00:00+00:00,2,2,38,25
2025-12-01 00:00:00+00:00,51,13,41,22
2025-12-02 00:00:00+00:00,54,13,23,18
