url_path,views_total,views_unique
/vishal2376/snaptick,273,198
/vishal2376/snaptick/releases/tag/v3.0,47,36
/vishal2376/snaptick/tree/master/app,45,14
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,35,5
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/viewmodels/TaskViewModel.kt,28,2
/vishal2376/snaptick/tree/master/app/src,27,9
/vishal2376/snaptick/releases,26,21
/vishal2376/snaptick/tree/master/app/src/main,25,8
/vishal2376/snaptick/tree/master/app/src/main/res,19,6
/vishal2376/snaptick/issues,14,12
