url_path,views_total,views_unique
/vishal2376/snaptick,211,168
/vishal2376/snaptick/releases/tag/v4.1,27,21
/vishal2376/snaptick/releases/tag/v4.2,24,20
/vishal2376/snaptick/releases,19,14
/vishal2376/snaptick/releases/tag/v4.0,11,10
/vishal2376/snaptick/issues,11,7
/vishal2376/snaptick/pulls,6,3
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,5,2
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/navigation/AppNavigation.kt,3,1
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/MainActivity.kt,2,2
