url_path,views_total,views_unique
/vishal2376/snaptick,303,208
/vishal2376/snaptick/releases/tag/v3.3,66,48
/vishal2376/snaptick/releases,22,16
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/add_edit_screen/AddTaskScreen.kt,19,1
/vishal2376/snaptick/issues,13,8
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/navigation/AppNavigation.kt,13,1
/vishal2376/snaptick/tree/master/app,9,8
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/this_week_task_screen/ThisWeekTaskScreen.kt,7,1
/vishal2376/snaptick/tree/master/app/src,6,6
/vishal2376/snaptick/tree/master/app/src/main,6,6
