time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-18 00:00:00+00:00,5,4,43,19
2025-06-19 00:00:00+00:00,2,2,64,26
2025-06-20 00:00:00+00:00,7,6,68,27
2025-06-21 00:00:00+00:00,29,5,74,15
2025-06-22 00:00:00+00:00,3,3,53,26
2025-06-23 00:00:00+00:00,8,7,44,19
2025-06-24 00:00:00+00:00,11,7,48,17
2025-06-25 00:00:00+00:00,4,4,58,17
2025-06-26 00:00:00+00:00,3,3,26,18
2025-06-27 00:00:00+00:00,6,5,59,12
2025-06-28 00:00:00+00:00,6,5,39,15
2025-06-29 00:00:00+00:00,8,6,55,19
2025-06-30 00:00:00+00:00,6,6,29,17
2025-07-01 00:00:00+00:00,2,2,117,17
