url_path,views_total,views_unique
/vishal2376/snaptick,61,51
/vishal2376/snaptick/releases/tag/v3.3,10,7
/vishal2376/snaptick/releases,5,4
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/add_edit_screen/AddTaskScreen.kt,5,2
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/navigation/AppNavigation.kt,4,2
/vishal2376/snaptick/tree/master/app,4,2
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/add_edit_screen/AddEditScreenEvent.kt,3,2
/vishal2376/snaptick/tree/master/app/src/main,3,1
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/navigation/Routes.kt,2,2
/vishal2376/snaptick/tree/master/app/src,2,1
