time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-12-23 00:00:00+00:00,1.0,1.0,24,15
2024-12-24 00:00:00+00:00,1.0,1.0,30,18
2024-12-25 00:00:00+00:00,3.0,2.0,48,23
2024-12-26 00:00:00+00:00,3.0,2.0,59,16
2024-12-27 00:00:00+00:00,3.0,2.0,11,8
2024-12-28 00:00:00+00:00,,,23,13
2024-12-29 00:00:00+00:00,,,39,16
2024-12-30 00:00:00+00:00,3.0,2.0,33,24
2024-12-31 00:00:00+00:00,1.0,1.0,34,20
2025-01-01 00:00:00+00:00,,,47,14
2025-01-02 00:00:00+00:00,1.0,1.0,25,20
2025-01-03 00:00:00+00:00,2.0,1.0,120,25
2025-01-04 00:00:00+00:00,2.0,1.0,30,15
2025-01-05 00:00:00+00:00,,,35,20
