url_path,views_total,views_unique
/vishal2376/snaptick,306,243
/vishal2376/snaptick/tree/master/app,51,15
/vishal2376/snaptick/releases/tag/v3.0,47,42
/vishal2376/snaptick/tree/master/app/src,32,11
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,32,10
/vishal2376/snaptick/tree/master/app/src/main,27,11
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/home_screen/HomeScreen.kt,24,3
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/presentation/viewmodels/TaskViewModel.kt,24,1
/vishal2376/snaptick/releases,23,19
/vishal2376/snaptick/commits/master,22,3
