url_path,views_total,views_unique
/vishal2376/snaptick,159,130
/vishal2376/snaptick/releases/tag/v4.0,38,28
/vishal2376/snaptick/tree/master/app,9,8
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/data,7,1
/vishal2376/snaptick/tree/master/app/src,5,5
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,5,3
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/data/calendar,5,1
/vishal2376/snaptick/releases,3,3
/vishal2376/snaptick/tree/master/app/src/main,3,3
/vishal2376/snaptick/blob/e10d769b017b77555ec781c258f5dd54ac7473df/app/src/main/java/com/vishal2376/snaptick/presentation/settings/components/LanguageOptionComponent.kt,3,1
