url_path,views_total,views_unique
/vishal2376/snaptick,527,389
/vishal2376/snaptick/releases/tag/v3.0,121,96
/vishal2376/snaptick/tree/master/app,51,18
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick,44,8
/vishal2376/snaptick/tree/master/app/src,34,13
/vishal2376/snaptick/tree/master/app/src/main,30,13
/vishal2376/snaptick/releases,19,18
/vishal2376/snaptick/issues,15,8
/vishal2376/snaptick/blob/master/app/src/main/java/com/vishal2376/snaptick/util/LocaleHelper.kt,15,2
/vishal2376/snaptick/tree/master/app/src/main/java/com/vishal2376/snaptick/data,14,4
