time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-05-10 00:00:00+00:00,6,4,28,16
2025-05-11 00:00:00+00:00,3,3,31,13
2025-05-12 00:00:00+00:00,2,2,38,14
2025-05-13 00:00:00+00:00,3,2,58,27
2025-05-14 00:00:00+00:00,11,5,36,18
2025-05-15 00:00:00+00:00,8,5,41,24
2025-05-16 00:00:00+00:00,6,3,35,25
2025-05-17 00:00:00+00:00,4,4,21,17
2025-05-18 00:00:00+00:00,3,3,33,16
2025-05-19 00:00:00+00:00,7,3,64,23
2025-05-20 00:00:00+00:00,5,4,29,17
2025-05-21 00:00:00+00:00,8,5,29,18
2025-05-22 00:00:00+00:00,3,3,34,20
2025-05-23 00:00:00+00:00,1,1,17,15
